tectonic_band_number,band_type,Stage 1 absolute speed error m/s,Stage 2 absolute speed error m/s,Speed error improvement m/s,Speed improved yes/no,Stage 1 absolute position error micrometers,Stage 2 absolute position error micrometers,Position error improvement micrometers,Position improved yes/no,Stage 1 MAE inside band m/s,Stage 2 MAE inside band m/s,MAE improvement inside band m/s,MAE improved yes/no,Stage 1 RMSE inside band m/s,Stage 2 RMSE inside band m/s,RMSE improvement inside band m/s,RMSE improved yes/no,Stage 1 detection efficiency,Stage 2 detection efficiency,Detection efficiency improvement,Detection efficiency improved yes/no,Stage 1 false positive ratio,Stage 2 false positive ratio,False positive reduction,False positives reduced yes/no,Stage 1 wrong-sign ratio inside band,Stage 2 wrong-sign ratio inside band,Wrong-sign artifact reduction,Wrong-sign artifacts reduced yes/no,experiment_name,experiment_type,num_bands,geometry
3,fast band,253.1914,92.36426,160.82715,yes,6.30468808183192,4.370256991355923,1.9344310904759976,yes,253.1911,92.36385,160.82724,yes,253.68112,95.338646,158.34247,yes,0.31013095,0.68116987,0.3710389,yes,2.2244443893432617,0.468062549829483,1.756381839513779,yes,1.0278315544128418,0.0,1.0278315544128418,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
4,slow band,236.8711,110.265625,126.60547,yes,7.670226618755365,8.180640169941924,-0.5104135511865593,no,236.87056,110.266205,126.604355,yes,237.61671,114.75114,122.86558,yes,0.33918735,0.65100664,0.3118193,yes,1.948223114013672,0.5360826253890991,1.4121404886245728,yes,0.0912619084119796,0.0,0.0912619084119796,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
5,fast band,308.85254,122.83984,186.0127,yes,4.15165662148155,7.70254516563881,-3.55088854415726,no,308.8521,122.839935,186.01218,yes,309.40585,123.5526,185.85326,yes,0.6573764,0.7459943,0.08861792,yes,0.5211985111236572,0.3404928147792816,0.1807056963443756,yes,0.0224627796560525,0.0,0.0224627796560525,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
6,slow band,292.65186,133.93506,158.7168,yes,7.264955948460425,5.924061648249791,1.3408943002106346,yes,292.65125,133.93452,158.71672,yes,292.9542,135.61461,157.33958,yes,0.571575,0.73299736,0.16142237,yes,0.7495517730712891,0.3642614185810089,0.3852903544902801,yes,0.0,0.0,0.0,no,10 ideal bands,resolution_limit,10,ideal_horizontal
7,fast band,376.71777,165.48926,211.22852,yes,5.7892481348915235,4.506655336563128,1.2825927983283956,yes,376.7176,165.4889,211.22868,yes,377.1741,165.81616,211.35794,yes,0.7591716,0.7821169,0.022945285,yes,0.3172251880168915,0.2785812318325043,0.0386439561843872,yes,0.0178857706487178,0.0,0.0178857706487178,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
8,slow band,353.38135,167.19043,186.19092,yes,0.2242066490937589,4.2385827845538415,-4.014376135460083,no,353.38153,167.19026,186.19127,yes,353.7355,168.05035,185.68515,yes,0.67722666,0.77935076,0.102124095,yes,0.4766105413436889,0.2831193208694458,0.1934912204742431,yes,0.0,0.0,0.0,no,10 ideal bands,resolution_limit,10,ideal_horizontal
9,fast band,447.48438,199.50293,247.98145,yes,1.3580224852552194,7.5271767840826,-6.16915429882738,no,447.4837,199.50275,247.98096,yes,447.78384,199.96309,247.82076,yes,0.80730754,0.8154759,0.00816834,yes,0.2386852800846099,0.2262779027223587,0.0124073773622512,yes,0.0025234667118638,0.0,0.0025234667118638,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
10,slow band,420.76025,193.11914,227.64111,yes,10.666805715401823,2.7878747391216767,7.878930976280147,yes,420.7607,193.1189,227.64182,yes,421.4153,193.58961,227.8257,yes,0.72788054,0.8177932,0.08991265,yes,0.3738517761230469,0.2228030115365982,0.1510487645864486,yes,0.0,0.0,0.0,no,10 ideal bands,resolution_limit,10,ideal_horizontal
1,fast band,152.1416,31.941406,120.200195,yes,0.6266329322250286,3.262595862380167,-2.6359629301551384,no,152.14143,47.178688,104.962746,yes,156.87761,70.87901,85.9986,yes,0.7016456,0.7882648,0.0866192,yes,0.42522097,0.2686092,0.15661177,yes,0.0,0.0,0.0,no,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
2,slow band,138.97461,54.785156,84.18945,yes,0.4946839509648982,1.41298482153708,-0.9183008705721816,no,138.97423,70.626045,68.34818,yes,155.85976,91.66674,64.193016,yes,0.8018427,0.9099081,0.10806543,yes,0.24712737,0.099012114,0.14811525,yes,0.008192738,0.0014102594,0.006782478,yes,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,fast band,301.73535,184.90625,116.8291,yes,0.3998404664423561,0.5157622451021382,-0.1159217786597821,no,301.7344,184.90607,116.82834,yes,305.19867,201.91484,103.28383,yes,0.791909,0.85091186,0.059002876,yes,0.2627714,0.17520991,0.08756149,yes,0.0,0.0,0.0,no,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
